case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
200,kidney_rat_FDISCO_20250609_200708,941.6,1.04068,30.6916,23.1917,20.4349,8.44046,87.7408,30.6993,0,5,4,0.523259
201,kidney_rat_FDISCO_20250609_202309,957.7,1.05106,35.6609,28.7335,26.8055,12.2206,70.2727,35.6781,0,5,4,0.66283
202,kidney_rat_FDISCO_20250609_203633,990.8,1.04764,42.453,34.2123,27.4837,13.4502,92.9212,42.467,0,5,4,0.565021
203,lung_rat_FDISCO_20250609_200908,2064.2,0.795,6.26704,6.271,6.26624,17.2409,9.93899,6.42155,0,5,4,0.731882
204,spleen_rat_FDISCO_20250609_202045,438.3,1.07301,28.1601,20.5724,19.6847,34.5109,80.5189,28.1645,0,5,3,0.66273
205,stomach_rat_FDISCO_20250609_202506,1342.6,1.02674,60.8812,50.2258,48.6481,51.8004,53.2024,60.8841,0,5,4,0.56465
206,stomach_rat_FDISCO_20250609_203954,1344.9,1.07309,58.2859,49.3372,45.1404,16.0293,57.1695,58.2893,0,5,4,0.519353
207,heart_mouse_FDISCO_20250621_185705,136.6,1.04026,43.1169,34.4505,27.1385,13.5166,92.7247,43.1252,0,5,2,0.6625
208,heart_mouse_FDISCO_20250621_185828,107,1.05701,46.4767,39.4127,32.6246,14.5688,75.7788,46.4968,0,5,2,0.616215
209,heart_mouse_FDISCO_20250621_185951,95.4,1.09119,46.9685,38.7168,31.0063,14.3254,85.6699,46.9824,0,5,2,0.787143
210,intestine_mouse_FDISCO_20250621_182949,270.1,1.06886,87.7482,78.2997,71.4021,22.285,44.5666,87.7865,0,5,2,0.785532
211,intestine_mouse_FDISCO_20250621_183355,161.6,1.1479,77.4736,68.9717,62.7271,26.6798,46.9532,77.5263,0,5,2,0.828644
212,kidney_mouse_FDISCO_20250621_184420,129.2,1.06269,42.1151,33.4608,26.5576,13.1137,93.5944,42.1332,0,5,2,0.685532
213,kidney_mouse_FDISCO_20250621_184555,157.5,1.00825,51.4146,42.0504,33.9694,13.9706,90.3707,51.4366,0,5,2,0.678644
214,kidney_mouse_FDISCO_20250621_184720,134.5,1.06766,51.5935,41.2828,32.0499,14.0629,97.3701,51.6017,0,5,2,0.5
215,kidney_mouse_FDISCO_20250621_184852,156.7,1.02999,53.9578,43.5818,34.1201,14.3323,96.3755,53.9684,0,5,2,0.716923
216,kidney_mouse_FDISCO_20250621_185436,123,1.02674,47.1451,38.6402,31.1185,13.9299,88.9034,47.1661,0,5,2,0.683405
217,liver_mouse_FDISCO_20250621_181956,108.2,1.05545,50.2786,38.8991,33.8486,10.8805,82.1438,50.2846,0,5,2,0.685009
218,liver_mouse_FDISCO_20250621_182210,282.2,1.05457,54.5063,43.3182,36.5971,11.974,82.4443,54.5107,0,5,2,0.975369
219,liver_mouse_FDISCO_20250621_182355,149.8,1.03405,58.3314,47.4967,40.1513,13.1306,77.6672,58.3443,0,5,2,0.690971
220,liver_mouse_FDISCO_20250621_182701,170.5,1.07214,39.1579,28.5822,25.3391,10.4675,93.5852,39.1722,0,5,2,0.716451
221,liver_mouse_FDISCO_20250621_183215,397.6,1.03622,47.6949,35.7438,30.521,10.1639,90.5504,47.7045,0,5,2,0.828644
222,lung_mouse_FDISCO_20250621_181250,311.3,0.74201,64.4596,49.938,43.9231,15.4337,91.8358,64.4886,0,5,2,0.721964
223,lung_mouse_FDISCO_20250621_181526,224,0.78102,55.5905,42.4575,37.3627,11.7387,88.7489,55.6063,0,5,2,0.846928
224,muscle_mouse_FDISCO_20250621_174415,93.3,1.07288,88.2419,79.2758,77.0461,39.4487,34.8074,88.4315,0,5,1,0.746928
225,muscle_mouse_FDISCO_20250621_174636,6.9,1.63768,101.537,91.9126,86.5418,33.6064,36.1538,101.713,0,5,1,0.784109
226,muscle_mouse_FDISCO_20250621_174833,169.1,1.08693,82.007,72.262,68.8855,28.2978,43.6723,82.1877,0,5,2,0.803434
227,muscle_mouse_FDISCO_20250621_175103,103.7,1.11668,96.637,87.9614,85.8885,36.584,32.5029,97.1133,0,5,2,0.609521
228,muscle_mouse_FDISCO_20250621_175310,140.3,1.067,83.0176,75.5992,74.96,55.2246,29.1292,83.3399,0,5,2,0.811901
229,muscle_mouse_FDISCO_20250621_180103,89.3,1.12094,81.4979,72.8952,70.5074,38.6308,35.6247,81.5732,0,5,1,0.817673
230,muscle_mouse_FDISCO_20250621_180253,89.4,1.00447,80.5581,72.149,71.097,63.187,31.0955,80.6192,0,5,1,0.75311
231,muscle_mouse_FDISCO_20250621_180420,61.1,1.01637,97.3503,84.2926,71.6238,23.5487,70.098,97.4126,0,5,1,0.691495
232,muscle_mouse_FDISCO_20250621_180551,57.3,1.09599,92.5112,80.6261,71.709,24.9641,59.8148,92.5963,0,5,1,0.734599
233,muscle_mouse_FDISCO_20250621_180709,54.3,1,83.5311,72.3796,64.0595,23.343,57.0431,83.6257,0,5,1,0.709933
234,muscle_mouse_FDISCO_20250621_180842,14.4,1,100.555,89.3677,79.3161,30.1099,54.9907,100.775,0,5,1,0.775185
235,muscle_rat_FDISCO_20250621_190159,80.4,1.0199,93.5366,80.237,62.6568,16.8452,84.1769,93.5437,0,5,1,0.806376
236,muscle_rat_FDISCO_20250621_190608,61,1.07049,93.2312,80.7161,62.8301,17.2818,82.5535,93.2409,0,5,1,0.760837
